state,state_ansi,county,county_ansi,fips5,ag_district,ag_district_code,year,produced_soy,acres_planted,acres_harvested,production_bu,yield_bu_ac,yield_kg_ha,production_tonnes,area_harvested_ha,pcp04,pcp05,pcp06,pcp07,pcp08,pcp09,tmp04,tmp05,tmp06,tmp07,tmp08,tmp09,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,zndx07,zndx08,zndx_jja,pdsi_may,pcp_grow,pcp_critical,pcp_summer,tmp_grow,tmp_critical,tmp_summer,tmax_critical,tmax_summer,tmp_range_crit,pcp_grow_cv,tmp_grow_sd,pdsi_critical,zndx_critical,drought_flag,severe_drought,hot_month_count,dry_month_count,heat_x_dry,pcp_grow_anom,pcp_grow_z,pcp_critical_anom,pcp_critical_z,pcp08_anom,pcp08_z,tmp_grow_anom,tmp_grow_z,tmp_critical_anom,tmp_critical_z,tmax_critical_anom,tmax_critical_z,tmax08_anom,tmax08_z,pdsi08_anom,pdsi08_z,zndx08_anom,zndx08_z,climate_normal_pcp,climate_normal_tmax,trend_slope,yield_trend,yield_anom,log_yield,n_years_county,in_balanced_panel,is_focal
ILLINOIS,17,ADAMS,001,17001,WEST,30,1980,1.0,126800,126000,4070000,32.5,2185.6563668250924,110767.085,50990.390892,1.93,3.52,3.33,2.87,6.29,5.86,51.6,64.5,72.2,81.5,78.7,68.7,5.59,3.9,40.5,53.1,56.8,40.2,93.4,90.1,89.03,-3.13,-3.27,0.58,-1.94,-1.36,1.74,-0.09,-3.25,23.8,9.16,12.49,69.53333333333333,80.1,77.46666666666665,91.75,89.03,43.25,0.4357500613336311,10.788635996578376,-1.345,0.1899999999999999,0,0,2,0,-159.645,-0.6999999999999993,-0.1098753893014567,1.1706521739130435,0.3659652406097301,2.671521739130435,1.238645295020522,1.5391304347826065,1.0951987471820317,4.522826086956513,2.094966258997486,5.819565217391315,2.1171392519275067,5.010869565217391,1.6133261691679324,0.0593478260869565,0.0230998779959397,1.6108695652173912,0.7450419944686475,7.989347826086957,85.93043478260869,0.6011752914819951,30.08456653973917,2.4154334602608287,3.481240089335692,43,1,0
ILLINOIS,17,ADAMS,001,17001,WEST,30,1981,1.0,130500,129000,4644700,36.0,2421.034744790871,126407.83285,52204.447818,5.24,7.23,6.79,12.81,2.95,1.91,59.3,58.8,72.8,76.0,72.3,65.9,2.73,3.77,47.8,48.8,54.4,42.4,84.6,82.1,83.27,1.99,4.21,3.97,3.39,7.26,0.57,3.4,1.34,36.93,15.760000000000002,22.55,67.51666666666667,74.15,73.7,83.35,83.27,34.95,0.6291459491145976,7.333053024945794,4.09,3.915,0,0,0,0,-47.5095,12.43,1.951072984310155,7.770652173913045,2.4292344522924427,-0.668478260869565,-0.3099385045315407,-0.4775362318840592,-0.3398003645917899,-1.4271739130434753,-0.6610648156846187,-2.580434782608691,-0.9387539380044608,-2.9891304347826093,-0.9623963048181812,3.449347826086957,1.3425852167090693,0.4408695652173913,0.2039062300651035,7.989347826086957,85.93043478260869,0.6011752914819951,30.68574183122132,5.314258168778679,3.58351893845611,43,1,0
ILLINOIS,17,ADAMS,001,17001,WEST,30,1982,1.0,128400,125800,4636100,37.0,2488.285709923951,126173.77955,50909.4537636,3.16,4.89,4.93,6.92,3.79,2.89,47.9,67.2,67.3,76.8,72.0,65.4,8.72,4.84,37.3,57.0,55.4,44.1,86.6,81.9,81.83,2.83,3.39,3.51,3.24,2.56,1.42,1.76,2.66,26.58,10.71,15.64,66.10000000000001,74.4,72.03333333333333,84.25,81.83,34.5,0.3356652310992364,9.835446100711447,3.45,1.99,0,0,0,0,-119.635,2.0799999999999983,0.3264868710671857,2.7206521739130443,0.8505208888079431,0.1715217391304349,0.0795256845773612,-1.8942028985507164,-1.3478575918709146,-1.1771739130434753,-0.5452651906979754,-1.6804347826086854,-0.6113368105117482,-3.189130434782598,-1.0267893666678305,2.9893478260869566,1.1635400085061076,1.2908695652173912,0.5970390503582764,7.989347826086957,85.93043478260869,0.6011752914819951,31.286917122703244,5.713082877296756,3.6109179126442243,43,1,0
ILLINOIS,17,ADAMS,001,17001,WEST,30,1983,1.0,124100,123500,2865400,23.0,1546.7721980608344,77983.29370000001,49978.676787,6.81,3.78,1.52,1.06,1.98,3.37,46.4,59.2,72.9,81.4,81.5,68.2,4.45,10.81,38.3,48.9,55.5,46.0,93.4,94.0,90.43,-0.77,-1.72,-2.73,-1.74,-3.09,-3.58,-2.99,0.02,18.52,3.04,4.5600000000000005,68.26666666666667,81.45,78.60000000000001,93.7,90.43,42.95,0.6828207571729267,13.634026062270332,-2.225,-3.335,1,0,2,2,335.446,-5.98,-0.93864975431816,-4.949347826086957,-1.5472480284051486,-1.6384782608695652,-0.7596769133834872,0.2724637681159407,0.1938769910265737,5.872826086956522,2.7202842339253634,7.769565217391317,2.826543028161714,8.910869565217396,2.8689908752361646,-3.250652173913044,-1.265247163638414,-3.7091304347826086,-1.7155069513662704,7.989347826086957,85.93043478260869,0.6011752914819951,31.888092414185166,-8.888092414185166,3.1354942159291497,43,1,0
ILLINOIS,17,ADAMS,001,17001,WEST,30,1984,1.0,136600,135000,3877000,28.5,1916.652506292773,105514.4935,54632.56167,4.74,5.8,3.72,5.52,0.77,4.73,50.8,60.5,75.2,74.9,76.4,64.6,6.95,9.55,42.6,49.9,53.7,46.9,86.1,88.4,86.67,2.26,2.49,1.45,2.07,1.41,-2.37,-0.52,2.74,25.28,6.289999999999999,10.01,67.06666666666666,75.65,75.50000000000001,87.25,86.67,36.95,0.4359488777949002,10.28040206736423,1.97,-0.4800000000000001,0,0,1,1,206.7825,0.7800000000000011,0.1224325766501949,-1.6993478260869574,-0.5312442499250254,-2.848478260869565,-1.320690804837977,-0.927536231884062,-0.6600067779628102,0.0728260869565247,0.0337329342352409,1.3195652173913146,0.4800536144639538,3.310869565217402,1.065985143445887,0.9293478260869564,0.3617288587276278,-2.4991304347826087,-1.15587081894893,7.989347826086957,85.93043478260869,0.6011752914819951,32.48926770566732,-3.9892677056673165,3.349904087274605,43,1,0
ILLINOIS,17,ADAMS,001,17001,WEST,30,1985,1.0,135400,133000,5206600,39.0,2622.787640190111,141700.2223,53823.190386,1.14,3.79,3.14,5.96,4.99,3.29,58.0,65.4,69.0,75.4,70.6,67.0,10.25,7.23,47.0,54.5,56.8,45.9,86.6,80.1,82.03,1.75,2.08,2.56,2.13,1.54,2.09,1.0,2.18,22.31,10.95,14.09,67.56666666666666,73.0,71.66666666666667,83.35,82.03,32.0,0.4470046015610347,5.816413557052719,2.3200000000000003,1.815,0,0,0,0,-174.20149999999998,-2.1899999999999977,-0.3437530036717003,2.9606521739130427,0.9255488601418592,1.371521739130435,0.6359030975900786,-0.4275362318840621,-0.3042218742172344,-2.577173913043481,-1.1937430906231803,-2.580434782608691,-0.9387539380044608,-4.989130434782609,-1.6063269233147095,2.0393478260869564,0.7937727306956436,1.960869565217391,0.9069202145893656,7.989347826086957,85.93043478260869,0.6011752914819951,33.09044299714924,5.909557002850761,3.6635616461296463,43,1,0
ILLINOIS,17,ADAMS,001,17001,WEST,30,1986,1.0,138500,136100,4961400,36.5,2454.6602273574117,135026.98169999995,55077.7158762,1.92,5.26,4.17,7.49,1.49,9.88,57.2,64.9,74.8,78.6,69.9,69.9,2.98,13.17,44.4,54.9,59.4,46.4,88.2,81.2,84.87,1.8,2.53,2.0,2.11,2.74,-0.79,0.59,2.07,30.21,8.98,13.15,69.21666666666665,74.25,74.43333333333332,84.7,84.87,31.800000000000004,0.643998908145972,7.5258000682098,2.265,0.975,0,0,1,1,66.91300000000001,5.710000000000001,0.8962692470161695,0.9906521739130438,0.3096942621092926,-2.1284782608695654,-0.9868643570303468,1.2224637681159294,0.8698683081431596,-1.327173913043481,-0.6147449656899641,-1.2304347826086826,-0.4476282467653918,-3.889130434782601,-1.2521650831416162,1.4793478260869566,0.5758046511442123,-0.9191304347826088,-0.4251062824039732,7.989347826086957,85.93043478260869,0.6011752914819951,33.69161828863116,2.8083817113688383,3.597312260588446,43,1,0
ILLINOIS,17,ADAMS,001,17001,WEST,30,1987,1.0,131000,130100,4806300,37.0,2488.285709923951,130805.85765,52649.6020242,2.14,2.7,2.77,4.4,6.25,2.31,54.6,68.8,75.5,79.2,75.6,66.8,4.94,3.65,42.4,56.6,54.8,37.1,89.8,86.4,87.5,-1.96,-1.87,-0.99,-1.61,-0.32,2.05,0.0,-1.55,20.57,10.65,13.42,70.08333333333334,77.4,76.76666666666667,88.1,87.5,42.14999999999999,0.4663394944354551,8.888738193167052,-1.4300000000000002,0.8649999999999999,0,0,1,0,-180.605,-3.9300000000000033,-0.616871828506751,2.660652173913044,0.8317638959744637,2.631521739130435,1.2200993812534315,2.089130434782618,1.4865621413021732,1.8228260869565247,0.8443303091417438,2.169565217391309,0.7892809015404006,1.310869565217402,0.4220545249493585,-1.5106521739130434,-0.5879892021750376,1.920869565217391,0.8884198465755693,7.989347826086957,85.93043478260869,0.6011752914819951,34.29279358011331,2.7072064198866883,3.6109179126442243,43,1,0
ILLINOIS,17,ADAMS,001,17001,WEST,30,1988,1.0,129200,128600,3491800,27.0,1815.7760585931533,95031.0829,52042.5735612,1.33,2.11,2.4,0.68,3.24,1.55,52.8,65.8,74.5,78.5,79.2,68.8,4.94,7.01,40.2,52.2,55.8,37.9,91.1,91.3,90.07,-2.49,-3.33,-3.67,-3.16,-3.29,-2.04,-2.46,-2.01,11.31,3.92,6.32,69.93333333333334,78.85,77.39999999999999,91.2,90.07,44.35,0.4759274164180337,9.920013440851111,-3.5,-2.665,1,1,2,1,186.048,-13.19,-2.070366264123165,-4.069347826086956,-1.2721454668474534,-0.3784782608695649,-0.175480629720134,1.939130434782612,1.3798266701784965,3.2728260869565133,1.5159681340642694,5.269565217391303,1.917051007348624,6.2108695652173935,1.9996845402658503,-4.190652173913043,-1.6311221543140306,-2.1691304347826086,-1.0032427828351098,7.989347826086957,85.93043478260869,0.6011752914819951,34.893968871595234,-7.893968871595234,3.295836866004329,43,1,0
ILLINOIS,17,ADAMS,001,17001,WEST,30,1989,1.0,113200,112900,3251800,29.0,1950.277988859313,88499.3629,45689.0089818,2.66,3.16,2.03,3.25,4.31,3.43,53.1,60.5,70.7,77.7,74.2,63.4,3.36,5.36,41.4,49.2,52.5,45.1,88.6,85.3,85.23,-4.62,-4.45,-3.87,-4.31,-0.9,0.35,-0.76,-4.51,18.84,7.56,9.59,66.6,75.95,74.2,86.94999999999999,85.23,38.14999999999999,0.2437086174485221,9.246404706695465,-4.16,-0.275,1,1,1,0,-30.432499999999997,-5.66,-0.8884210049232082,-0.429347826086957,-0.1342212349497154,0.6915217391304345,0.3206225635495385,-1.3942028985507309,-0.9920726881253488,0.3728260869565218,0.1726924842192115,1.0195652173913032,0.3709145719663794,0.2108695652173935,0.0678926847762651,-4.390652173913043,-1.7089678970109703,0.2208695652173913,0.1021542059892234,7.989347826086957,85.93043478260869,0.6011752914819951,35.49514416307716,-6.495144163077157,3.367295829986474,43,1,0
